Region	Abbreviation	url	regular	day_light_saving
Alabama	AL	https://www.timetemperature.com/tzus/alabama_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Alaska	AK	https://www.timetemperature.com/tzus/alaska_time_zone.shtml	GMT/UTC - 9h	GMT/UTC - 8h
Arizona	AZ	https://www.timetemperature.com/tzus/arizona_time_zone.shtml	GMT/UTC - 7h	GMT/UTC - 6h
Arkansas	AR	https://www.timetemperature.com/tzus/arkansas_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
California	CA	https://www.timetemperature.com/tzus/california_time_zone.shtml	GMT/UTC - 8h	GMT/UTC - 7h
Colorado	CO	https://www.timetemperature.com/tzus/colorado_time_zone.shtml	GMT/UTC - 7h	GMT/UTC - 6h
Connecticut	CT	https://www.timetemperature.com/tzus/connecticut_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Delaware	DE	https://www.timetemperature.com/tzus/delaware_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Florida	FL	https://www.timetemperature.com/tzus/florida_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Georgia	GA	https://www.timetemperature.com/tzus/georgia_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Hawaii	HI	https://www.timetemperature.com/tzus/hawaii_time_zone.shtml	GMT/UTC - 10h	
Idaho	ID	https://www.timetemperature.com/tzus/idaho_time_zone.shtml	GMT/UTC - 7h	GMT/UTC - 6h
Illinois	IL	https://www.timetemperature.com/tzus/illinois_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Indiana	IN	https://www.timetemperature.com/tzus/indiana_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Iowa	IA	https://www.timetemperature.com/tzus/iowa_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Kansas	KS	https://www.timetemperature.com/tzus/kansas_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Kentucky	KY	https://www.timetemperature.com/tzus/kentucky_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Louisiana	LA	https://www.timetemperature.com/tzus/louisiana_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Maine	ME	https://www.timetemperature.com/tzus/maine_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Maryland	MD	https://www.timetemperature.com/tzus/maryland_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Massachusetts	MA	https://www.timetemperature.com/tzus/massachusetts_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Michigan	MI	https://www.timetemperature.com/tzus/michigan_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Minnesota	MN	https://www.timetemperature.com/tzus/minnesota_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Mississippi	MS	https://www.timetemperature.com/tzus/mississippi_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Missouri	MO	https://www.timetemperature.com/tzus/missouri_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Montana	MT	https://www.timetemperature.com/tzus/montana_time_zone.shtml	GMT/UTC - 7h	GMT/UTC - 6h
Nebraska	NE	https://www.timetemperature.com/tzus/nebraska_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Nevada	NV	https://www.timetemperature.com/tzus/nevada_time_zone.shtml	GMT/UTC - 8h	GMT/UTC - 7h
New Hampshire	NH	https://www.timetemperature.com/tzus/new_hampshire_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
New Jersey	NJ	https://www.timetemperature.com/tzus/new_jersey_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
New Mexico	NM	https://www.timetemperature.com/tzus/new_mexico_time_zone.shtml	GMT/UTC - 7h	GMT/UTC - 6h
New York	NY	https://www.timetemperature.com/tzus/new_york_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
North Carolina	NC	https://www.timetemperature.com/tzus/north_carolina_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
North Dakota	ND	https://www.timetemperature.com/tzus/north_dakota_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Ohio	OH	https://www.timetemperature.com/tzus/ohio_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Oklahoma	OK	https://www.timetemperature.com/tzus/oklahoma_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Oregon	OR	https://www.timetemperature.com/tzus/oregon_time_zone.shtml	GMT/UTC - 7h	GMT/UTC - 6h
Pennsylvania	PA	https://www.timetemperature.com/tzus/pennsylvania_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Rhode Island	RI	https://www.timetemperature.com/tzus/rhode_island_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
South Carolina	SC	https://www.timetemperature.com/tzus/south_carolina_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
South Dakota	SD	https://www.timetemperature.com/tzus/south_dakota_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Tennessee	TN	https://www.timetemperature.com/tzus/tennessee_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Texas	TX	https://www.timetemperature.com/tzus/texas_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Utah	UT	https://www.timetemperature.com/tzus/utah_time_zone.shtml	GMT/UTC - 7h	GMT/UTC - 6h
Vermont	VT	https://www.timetemperature.com/tzus/vermont_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Virginia	VA	https://www.timetemperature.com/tzus/virginia_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Washington	WA	https://www.timetemperature.com/tzus/washington_time_zone.shtml	GMT/UTC - 8h	GMT/UTC - 7h
West Virginia	WV	https://www.timetemperature.com/tzus/west_virginia_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
Wisconsin	WI	https://www.timetemperature.com/tzus/wisconsin_time_zone.shtml	GMT/UTC - 6h	GMT/UTC - 5h
Wyoming	WY	https://www.timetemperature.com/tzus/wyoming_time_zone.shtml	GMT/UTC - 7h	GMT/UTC - 6h
Puerto Rico	PR	https://www.timetemperature.com/tzus/puerto_rico_time_zone.shtml	GMT/UTC - 4h	
Washington, DC		https://www.timetemperature.com/tzus/washington_dc_time_zone.shtml	GMT/UTC - 5h	GMT/UTC - 4h
